id,description
625,"Aiguille à appliquer/perler BOHIN : longue et fine, pour patchwork, quilting et pose de perles"
722,"Aiguille à broder A41F BOHIN : aiguille à main pointue, acier nickelé, pour broderie sur toile - Numérotée selon l'épaisseur (plus le n° est petit, plus l'aiguille est grosse)"
769,"Aiguille à broder A41F BOHIN : aiguille à main pointue, acier nickelé, pour broderie sur toile - Numérotée selon l'épaisseur (plus le n° est petit, plus l'aiguille est grosse)"
716,"Aiguille à broder A41F BOHIN : aiguille à main pointue, acier nickelé, pour broderie sur toile - Numérotée selon l'épaisseur (plus le n° est petit, plus l'aiguille est grosse)"
718,"Aiguille à broder A41F BOHIN : aiguille à main pointue, acier nickelé, pour broderie sur toile - Numérotée selon l'épaisseur (plus le n° est petit, plus l'aiguille est grosse)"
721,"Aiguille à broder A41F BOHIN : aiguille à main pointue, acier nickelé, pour broderie sur toile - Numérotée selon l'épaisseur (plus le n° est petit, plus l'aiguille est grosse)"
323,"Aiguille à coudre à la main demi-longue ""betweens"" A1/2F BOHIN : pour couture sur tissus serrés et épais"
1141,"Aiguille à coudre le cuir BOHIN : pointe adaptée aux matières épaisses, pour coudre cuir et peau"
322,"Aiguille à coudre à la main demi-longue ""betweens"" A1/2F BOHIN : pour couture sur tissus serrés et épais"
320,"Aiguille à coudre à la main demi-longue ""betweens"" A1/2F BOHIN : pour couture sur tissus serrés et épais"
321,"Aiguille à coudre à la main demi-longue ""betweens"" A1/2F BOHIN : pour couture sur tissus serrés et épais"
269,Aiguille à coudre à la main longue A1F BOHIN : pour couture courante sur tissus légers à moyens
222,Aiguille à coudre à la main longue A1F BOHIN : pour couture courante sur tissus légers à moyens
223,Aiguille à coudre à la main longue A1F BOHIN : pour couture courante sur tissus légers à moyens
220,Aiguille à coudre à la main longue A1F BOHIN : pour couture courante sur tissus légers à moyens
221,Aiguille à coudre à la main longue A1F BOHIN : pour couture courante sur tissus légers à moyens
1142,"Assortiment d'aiguilles à main spéciales jean BOHIN : fin et épais, pour repriser des accrocs ou broder sur denim"
83099,Aiguille à coudre spéciale tricot BOHIN : pointe arrondie pour assembler les mailles sans les fendre
622,"Aiguille à main ""mode""/modiste A31F BOHIN : pour surfiler, froncer et bâtir"
610,"Aiguille à main ""mode""/modiste A31F BOHIN : pour surfiler, froncer et bâtir"
668,"Aiguille à main ""mode""/modiste A31F BOHIN : pour surfiler, froncer et bâtir"
621,"Aiguille à main ""mode""/modiste A31F BOHIN : pour surfiler, froncer et bâtir"
503,"Aiguille à repriser A21F BOHIN : aiguille longue à grand chas, acier nickelé, pour repriser et raccommoder tout type de tissu"
568,"Aiguille à repriser A21F BOHIN : aiguille longue à grand chas, acier nickelé, pour repriser et raccommoder tout type de tissu"
10006,"Aiguille à repriser longue A11 BOHIN : grand chas, pour le montage des tricots et les reprises"
10003,"Aiguille à repriser longue A11 BOHIN : grand chas, pour le montage des tricots et les reprises"
10003_U,"Aiguille à repriser longue A11 BOHIN : grand chas, pour le montage des tricots et les reprises"
468,"Aiguille à repriser longue A11 BOHIN : grand chas, pour le montage des tricots et les reprises"
772,"Aiguille à broder A41F BOHIN : aiguille à main pointue, acier nickelé, pour broderie sur toile - Numérotée selon l'épaisseur (plus le n° est petit, plus l'aiguille est grosse)"
770,"Aiguille à broderie avec ruban P3 BOHIN : chas large pour ruban, pour la broderie au ruban"
880,"Aiguille à broder A41F BOHIN : aiguille à main pointue, acier nickelé, pour broderie sur toile - Numérotée selon l'épaisseur (plus le n° est petit, plus l'aiguille est grosse)"
870,"Aiguille à broder A41F BOHIN : aiguille à main pointue, acier nickelé, pour broderie sur toile - Numérotée selon l'épaisseur (plus le n° est petit, plus l'aiguille est grosse)"
780,"Aiguille broderie/canevas à bout rond BOHIN : pointe arrondie, pour canevas et point de croix"
11899,"Aiguille carrelet triangulaire A54 BOHIN : pointe triangulaire tranchante, pour coudre le cuir"
232,Aiguille à coudre Sashiko BOHIN : longue aiguille japonaise pour le point Sashiko
