id,nom
BAMBI_K,Pelote Bambi - Katia - 100% Polyester
ZPAGETTI_H,Pelote Zpagetti - Fil T Shirt - Hoooked - 700G
VELVET_DMC,Pelote Velvet - DMC - 100% Polyester
50408D,Epingles N°2 Par 10
84399,Épingles sureté Bébé Inox Blister 4
ECO_VITA3_MULT_DMC,Pelote Eco Vita 3Mm - Multicolor - 100G - Dmc
TB248,Kit à Broder - Tulipes Romantiques - Ac Tambour - Dmc
TB249,Kit de Broderie - Coquelicots Romantiques - Ac Tambour - DMC
ECO_VITA4_DMC,Pelote Eco Vita 4 - Dmc - 250G
KNITTY_6_DMC,Pelote Knitty 6 - Acrylique - 100G - Dmc
CAPRI_K,Pelote Coton Capri - Katia
